iso3,life,continent
AFG,60.42859204,Asia
AGO,61.13534716,Africa
ALB,78.01445206,Europe
ARE,80.64754288,Asia
ARG,76.51452536,South America
ARM,74.19757704,Asia
ATG,75.59206584,Other
AUS,82.36885018,Oceania
AUT,81.23527679,Europe
AZE,72.71925019,Asia
BDI,62.32268744,Africa
BEL,80.94130643,Europe
BEN,62.37267295,Africa
BFA,60.46448541,Africa
BGD,72.77669075,Asia
BGR,74.40807537,Europe
BHR,75.64496177,Other
BHS,72.64786335,North America
BIH,77.17772515,Europe
BLR,73.15346125,Europe
BLZ,74.2195742,North America
BOL,71.64868401,South America
BRA,74.63621389,South America
BRB,76.24311034,Other
BRN,76.65808603,Asia
BTN,72.91360226,Asia
BWA,61.38291822,Africa
CAF,49.17728884,Africa
CAN,81.59103957,North America
CHE,82.84919576,Europe
CHL,79.93658439,South America
CHN,76.19910536,Asia
CIV,60.06789432,Africa
CMR,58.43615921,Africa
COD,59.46084106,Africa
COG,61.64003199,Africa
COL,77.36559952,South America
COM,67.0710997,Other
CPV,74.86891105,Other
CRI,80.47995762,North America
CUB,78.1433227,North America
CYP,81.84705653,Asia
CZE,78.68016445,Europe
DEU,80.7599266,Europe
DJI,63.51525954,Africa
DNK,80.51401409,Europe
DOM,73.26353439,North America
DZA,75.93393131,Africa
ECU,76.8969622,South America
EGY,70.46262161,Africa
ERI,62.18741649,Africa
ESP,82.58446278,Europe
EST,77.0967995,Europe
ETH,66.55987824,Africa
FIN,80.86537331,Europe
FJI,67.72103011,Oceania
FRA,82.2489409,Other
FSM,65.26774587,Other
GAB,63.76784225,Africa
GBR,80.93676029,Europe
GEO,72.72305539,Asia
GHA,63.96496972,Africa
GIN,58.60749611,Africa
GMB,63.57797414,Africa
GNB,57.18296664,Africa
GNQ,61.53172347,Africa
GRC,80.83818972,Europe
GRD,72.54366171,Other
GTM,71.9774007,North America
GUY,66.55197342,South America
HND,69.52157081,North America
HRV,78.05645984,Europe
HTI,62.25423095,North America
HUN,75.777258,Europe
IDN,70.30298584,Asia
IND,68.91972988,Asia
IRL,81.05218065,Europe
IRN,77.29855084,Asia
IRQ,70.22637913,Asia
ISL,82.09822512,Europe
ISR,81.37964957,Asia
ITA,82.61004631,Europe
JAM,73.23854714,North America
JOR,77.96984738,Asia
JPN,83.79493082,Asia
KAZ,71.47528342,Asia
KEN,63.63694431,Africa
KGZ,70.89588242,Asia
KHM,68.40636847,Asia
KIR,61.63073757,Other
KOR,82.15999534,Asia
KWT,81.88077916,Asia
LAO,66.43037564,Asia
LBN,78.22558226,Asia
LBR,58.11259758,Africa
LBY,72.6011445,Africa
LCA,76.28411905,Other
LKA,76.17612763,Asia
LSO,48.68389714,Africa
LTU,74.49843919,Europe
LUX,82.1608587,Europe
LVA,74.4358747,Europe
MAR,73.12038211,Africa
MDA,71.10984715,Europe
MDG,63.22596923,Africa
MDV,76.80961188,Other
MEX,75.90738439,North America
MKD,75.25754035,Europe
MLI,59.77561439,Africa
MLT,81.45292313,Other
MMR,67.0395851,Asia
MNE,76.62030337,Europe
MNG,68.96351192,Asia
MOZ,55.02757929,Africa
MRT,69.29386756,Africa
MUS,74.00992363,Other
MWI,61.34710538,Africa
MYS,74.64731536,Asia
NAM,61.94948428,Africa
NER,59.45072248,Africa
NGA,61.37523759,Africa
NIC,77.51891848,North America
NLD,81.45622695,Europe
NOR,81.82844761,Other
NPL,70.19243321,Asia
NZL,81.19298738,Oceania
OMN,73.9416621,Asia
PAK,65.39254995,Asia
PAN,77.76557135,North America
PER,80.00001335,South America
PHL,69.80391436,Asia
PNG,65.75249158,Oceania
POL,77.47281866,Europe
PRI,79.89363862,North America
PRK,71.13791927,Asia
PRT,80.89996435,Europe
PRY,75.31468858,South America
PSE,74.19704282,Asia
QAT,76.57011341,Asia
ROU,74.86061311,Europe
RUS,70.68556822,Europe
RWA,66.67115526,Africa
SAU,77.22323995,Asia
SDN,68.08985985,Africa
SEN,66.97585439,Africa
SGP,82.60495523,Other
SLB,64.95591891,Oceania
SLE,55.83770997,Africa
SLV,73.8558025,North America
SOM,53.08816189,Africa
SRB,75.32134955,Europe
SSD,59.09264997,Africa
STP,70.26367532,Other
SUR,73.05386141,South America
SVK,76.83437639,Europe
SVN,80.78508516,Europe
SWE,81.92750078,Europe
SWZ,50.93411451,Africa
SYC,73.23814592,Other
SYR,60.24065156,Asia
TCD,57.46459955,Africa
TGO,61.08981314,Africa
THA,76.7567559,Asia
TJK,72.02059888,Asia
TKM,68.91649587,Asia
TLS,67.48250838,Asia
TON,72.38182372,Other
TTO,74.31626767,North America
TUN,76.6974822,Africa
TUR,76.74876869,Asia
TZA,64.69269786,Africa
UGA,63.49406001,Africa
UKR,70.89072091,Europe
URY,77.15013883,South America
USA,78.80026105,North America
UZB,68.81484391,Asia
VCT,72.73600877,Other
VEN,74.05573564,South America
VNM,72.95094965,Asia
VUT,66.71134263,Oceania
WSM,70.13172182,Other
YEM,68.71723916,Asia
ZAF,62.78312708,Africa
ZMB,59.98021269,Africa
ZWE,56.95717402,Africa
